"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Sun Sep 14 16:51:35 GMT 2025","passed","Sun Sep 14 16:51:35 GMT 2025","Get entity","Users","",""
"","22","Update exercise","LMS service","Sun Sep 14 16:51:28 GMT 2025","passed","Sun Sep 14 16:51:28 GMT 2025","Update entity","Exercises","",""
"","284","Login with correct email and password","LMS service","Sun Sep 14 16:51:25 GMT 2025","passed","Sun Sep 14 16:51:25 GMT 2025","Login","Authentication","",""
"","563","Create user","LMS service","Sun Sep 14 16:51:34 GMT 2025","passed","Sun Sep 14 16:51:34 GMT 2025","Create entity","Users","",""
"","24","Delete file","LMS service","Sun Sep 14 16:51:31 GMT 2025","passed","Sun Sep 14 16:51:31 GMT 2025","Delete entity","Files","",""
"","270","Get file with incorrect file id","LMS service","Sun Sep 14 16:51:34 GMT 2025","passed","Sun Sep 14 16:51:34 GMT 2025","Validate entity","Files","",""
"","16","Get exercises","LMS service","Sun Sep 14 16:51:30 GMT 2025","passed","Sun Sep 14 16:51:30 GMT 2025","Get entities","Exercises","",""
"","30","Create course","LMS service","Sun Sep 14 16:51:27 GMT 2025","passed","Sun Sep 14 16:51:27 GMT 2025","Create entity","Courses","",""
"","20","Delete exercise","LMS service","Sun Sep 14 16:51:29 GMT 2025","passed","Sun Sep 14 16:51:29 GMT 2025","Delete entity","Exercises","",""
"","295","Create exercise","LMS service","Sun Sep 14 16:51:27 GMT 2025","passed","Sun Sep 14 16:51:28 GMT 2025","TestExercises","Exercises","",""
"","300","Update course","LMS service","Sun Sep 14 16:51:26 GMT 2025","passed","Sun Sep 14 16:51:26 GMT 2025","Update entity","Courses","",""
"","307","Get courses","LMS service","Sun Sep 14 16:51:26 GMT 2025","passed","Sun Sep 14 16:51:26 GMT 2025","Get entities","Courses","",""
"","45","Create file","LMS service","Sun Sep 14 16:51:30 GMT 2025","passed","Sun Sep 14 16:51:30 GMT 2025","Create entity","Files","",""
"","523","Create user","LMS service","Sun Sep 14 16:51:33 GMT 2025","passed","Sun Sep 14 16:51:34 GMT 2025","Create entity","Users","",""
"","290","Get exercise","LMS service","Sun Sep 14 16:51:29 GMT 2025","passed","Sun Sep 14 16:51:29 GMT 2025","Get entity","Exercises","",""
"","16","Get file","LMS service","Sun Sep 14 16:51:31 GMT 2025","passed","Sun Sep 14 16:51:31 GMT 2025","Get entity","Files","",""
"","32","Create file with empty directory","LMS service","Sun Sep 14 16:51:33 GMT 2025","passed","Sun Sep 14 16:51:33 GMT 2025","Validate entity","Files","",""
"","267","Create file with empty filename","LMS service","Sun Sep 14 16:51:32 GMT 2025","passed","Sun Sep 14 16:51:33 GMT 2025","Validate entity","Files","",""
"","528","Create user","LMS service","Sun Sep 14 16:51:33 GMT 2025","passed","Sun Sep 14 16:51:33 GMT 2025","Create entity","Users","",""
