"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Create course","LMS service","Sat Sep 13 18:14:51 GMT 2025","passed","Sat Sep 13 18:14:51 GMT 2025","Create entity","Courses","",""
"","20","Create exercise","LMS service","Sat Sep 13 18:14:52 GMT 2025","passed","Sat Sep 13 18:14:52 GMT 2025","TestExercises","Exercises","",""
"","19","Update exercise","LMS service","Sat Sep 13 18:14:52 GMT 2025","passed","Sat Sep 13 18:14:52 GMT 2025","Update entity","Exercises","",""
"","552","Login with correct email and password","LMS service","Sat Sep 13 18:14:49 GMT 2025","passed","Sat Sep 13 18:14:49 GMT 2025","Login","Authentication","",""
"","12","Get user me","LMS service","Sat Sep 13 18:14:59 GMT 2025","passed","Sat Sep 13 18:14:59 GMT 2025","Get entity","Users","",""
"","273","Create file with empty filename","LMS service","Sat Sep 13 18:14:56 GMT 2025","passed","Sat Sep 13 18:14:57 GMT 2025","Validate entity","Files","",""
"","31","Update course","LMS service","Sat Sep 13 18:14:51 GMT 2025","passed","Sat Sep 13 18:14:51 GMT 2025","Update entity","Courses","",""
"","20","Get exercise","LMS service","Sat Sep 13 18:14:53 GMT 2025","passed","Sat Sep 13 18:14:53 GMT 2025","Get entity","Exercises","",""
"","34","Create file","LMS service","Sat Sep 13 18:14:54 GMT 2025","passed","Sat Sep 13 18:14:54 GMT 2025","Create entity","Files","",""
"","13","Get file","LMS service","Sat Sep 13 18:14:55 GMT 2025","passed","Sat Sep 13 18:14:55 GMT 2025","Get entity","Files","",""
"","510","Create user","LMS service","Sat Sep 13 18:14:57 GMT 2025","passed","Sat Sep 13 18:14:57 GMT 2025","Create entity","Users","",""
"","16","Get exercises","LMS service","Sat Sep 13 18:14:54 GMT 2025","passed","Sat Sep 13 18:14:54 GMT 2025","Get entities","Exercises","",""
"","26","Get courses","LMS service","Sat Sep 13 18:14:49 GMT 2025","passed","Sat Sep 13 18:14:49 GMT 2025","Get entities","Courses","",""
"","526","Create user","LMS service","Sat Sep 13 18:14:57 GMT 2025","passed","Sat Sep 13 18:14:58 GMT 2025","Create entity","Users","",""
"","29","Create file with empty directory","LMS service","Sat Sep 13 18:14:57 GMT 2025","passed","Sat Sep 13 18:14:57 GMT 2025","Validate entity","Files","",""
"","266","Get file with incorrect file id","LMS service","Sat Sep 13 18:14:57 GMT 2025","passed","Sat Sep 13 18:14:58 GMT 2025","Validate entity","Files","",""
"","553","Create user","LMS service","Sat Sep 13 18:14:58 GMT 2025","passed","Sat Sep 13 18:14:58 GMT 2025","Create entity","Users","",""
"","19","Delete exercise","LMS service","Sat Sep 13 18:14:53 GMT 2025","passed","Sat Sep 13 18:14:53 GMT 2025","Delete entity","Exercises","",""
"","22","Delete file","LMS service","Sat Sep 13 18:14:55 GMT 2025","passed","Sat Sep 13 18:14:55 GMT 2025","Delete entity","Files","",""
