"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","272","Create file","LMS service","Sun Sep 14 15:20:03 GMT 2025","passed","Sun Sep 14 15:20:04 GMT 2025","Create entity","Files","",""
"","21","Create exercise","LMS service","Sun Sep 14 15:20:01 GMT 2025","passed","Sun Sep 14 15:20:01 GMT 2025","TestExercises","Exercises","",""
"","12","Get user me","LMS service","Sun Sep 14 15:20:08 GMT 2025","passed","Sun Sep 14 15:20:08 GMT 2025","Get entity","Users","",""
"","563","Create user","LMS service","Sun Sep 14 15:20:07 GMT 2025","passed","Sun Sep 14 15:20:07 GMT 2025","Create entity","Users","",""
"","284","Update exercise","LMS service","Sun Sep 14 15:20:01 GMT 2025","passed","Sun Sep 14 15:20:01 GMT 2025","Update entity","Exercises","",""
"","20","Delete exercise","LMS service","Sun Sep 14 15:20:03 GMT 2025","passed","Sun Sep 14 15:20:03 GMT 2025","Delete entity","Exercises","",""
"","17","Get file","LMS service","Sun Sep 14 15:20:04 GMT 2025","passed","Sun Sep 14 15:20:04 GMT 2025","Get entity","Files","",""
"","285","Login with correct email and password","LMS service","Sun Sep 14 15:19:58 GMT 2025","passed","Sun Sep 14 15:19:58 GMT 2025","Login","Authentication","",""
"","263","Create file with empty filename","LMS service","Sun Sep 14 15:20:05 GMT 2025","passed","Sun Sep 14 15:20:05 GMT 2025","Validate entity","Files","",""
"","25","Delete file","LMS service","Sun Sep 14 15:20:05 GMT 2025","passed","Sun Sep 14 15:20:05 GMT 2025","Delete entity","Files","",""
"","268","Create file with empty directory","LMS service","Sun Sep 14 15:20:06 GMT 2025","passed","Sun Sep 14 15:20:06 GMT 2025","Validate entity","Files","",""
"","268","Get file with incorrect file id","LMS service","Sun Sep 14 15:20:06 GMT 2025","passed","Sun Sep 14 15:20:07 GMT 2025","Validate entity","Files","",""
"","28","Create course","LMS service","Sun Sep 14 15:20:00 GMT 2025","passed","Sun Sep 14 15:20:00 GMT 2025","Create entity","Courses","",""
"","527","Create user","LMS service","Sun Sep 14 15:20:06 GMT 2025","passed","Sun Sep 14 15:20:07 GMT 2025","Create entity","Users","",""
"","301","Get courses","LMS service","Sun Sep 14 15:19:59 GMT 2025","passed","Sun Sep 14 15:19:59 GMT 2025","Get entities","Courses","",""
"","312","Update course","LMS service","Sun Sep 14 15:19:59 GMT 2025","passed","Sun Sep 14 15:19:59 GMT 2025","Update entity","Courses","",""
"","292","Create user","LMS service","Sun Sep 14 15:20:07 GMT 2025","passed","Sun Sep 14 15:20:07 GMT 2025","Create entity","Users","",""
"","14","Get exercise","LMS service","Sun Sep 14 15:20:02 GMT 2025","passed","Sun Sep 14 15:20:02 GMT 2025","Get entity","Exercises","",""
"","287","Get exercises","LMS service","Sun Sep 14 15:20:03 GMT 2025","passed","Sun Sep 14 15:20:03 GMT 2025","Get entities","Exercises","",""
